City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Virginia Beach,US,82.0,scattered clouds,36.85,-75.98,Hilton Virginia Beach Oceanfront
6,Mahebourg,MU,71.6,light intensity shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
7,Atuona,PF,79.84,clear sky,-9.8,-139.03,Villa Enata
9,Jalu,LY,76.44,clear sky,29.03,21.55,Jalu Hotel
10,Rikitea,PF,72.36,overcast clouds,-23.12,-134.97,Pension Maro'i
13,Kiunga,PG,83.86,broken clouds,-6.12,141.29,Airport Lodge Kiunga
14,Sovetskiy,RU,73.44,overcast clouds,61.36,63.58,Apartment on Kievskaya 29
18,Butaritari,KI,78.64,overcast clouds,3.07,172.79,Isles Sunset Lodge
20,Ponta Do Sol,PT,71.01,clear sky,32.67,-17.1,Hotel do Campo
26,Hobyo,SO,78.64,overcast clouds,5.35,48.53,Osmani Hotel
28,Jiangkou,CN,87.8,overcast clouds,25.49,119.2,DFM Hotel
31,Labrea,BR,76.37,clear sky,-7.26,-64.8,Hotel Novo Horizonte
34,Kodiak,US,73.4,clear sky,57.79,-152.41,Best Western Kodiak Inn and Convention Center
40,Winnemucca,US,91.4,clear sky,40.97,-117.74,Winners Inn Casino
42,Alto Araguaia,BR,73.53,broken clouds,-17.31,-53.22,Araguaia Palace Hotel
49,Kalat,PK,72.41,clear sky,29.02,66.59,Balochistan Hotel
50,Sao Filipe,CV,77.67,broken clouds,14.9,-24.5,Tortuga B&B
53,Omboue,GA,70.74,overcast clouds,-1.57,9.26,Hotel Olako
55,Diffa,NE,81.3,overcast clouds,13.32,12.61,ProDAF/Diffa
58,Tilik,PH,84.88,clear sky,13.81,120.2,Precila's Haven
59,Jamestown,US,71.01,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
64,Eyl,SO,81.21,overcast clouds,7.98,49.82,Amiin Hotel
68,Bambous Virieux,MU,71.6,light intensity shower rain,-20.34,57.76,Casa Tia Villa
70,San Quintin,MX,70.12,clear sky,30.48,-115.95,Old Mill Hotel
75,Grand-Lahou,CI,73.99,broken clouds,5.14,-5.02,Hotel Beatitude de Grand Lahou
77,Bandarbeyla,SO,81.19,overcast clouds,9.49,50.81,REER XOOSHLE GROUP
82,Victoria,HK,90.0,few clouds,22.29,114.16,Mini Hotel Central
86,Avarua,CK,73.4,scattered clouds,-21.21,-159.78,Paradise Inn
88,Norman Wells,CA,75.2,shower rain,65.28,-126.83,Heritage Hotel
89,Hilo,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
93,Kavieng,PG,85.1,overcast clouds,-2.57,150.8,Nusa Island Retreat
102,Yingcheng,CN,73.4,light intensity shower rain,30.95,113.55,Yingcheng Hotel
103,Hasaki,JP,72.0,light intensity shower rain,35.73,140.83,Inubosaki Kanko Hotel
104,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
105,Kilindoni,TZ,76.84,scattered clouds,-7.91,39.67,Bustani B&B
106,Los Llanos De Aridane,ES,71.6,scattered clouds,28.66,-17.92,Valle Aridane
110,Kapaa,US,82.4,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
114,Firozpur Jhirka,IN,91.49,clear sky,27.8,76.95,police station NAKHA
121,Salalah,OM,80.6,haze,17.02,54.09,HAMDAN PLAZA HOTEL
122,Kachug,RU,81.99,clear sky,53.96,105.88,"The hotel ""Empire"""
