City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cabo San Lucas,MX,2020-07-14 15:15:22,22.89,-109.91,84.99,65,40,17.22
1,Bambous Virieux,MU,2020-07-14 15:16:43,-20.34,57.76,71.6,88,40,9.17
2,Caravelas,BR,2020-07-14 15:16:43,-17.71,-39.25,83.7,52,21,5.68
3,Iqaluit,CA,2020-07-14 15:12:48,63.75,-68.51,55.4,71,75,6.93
4,Killybegs,IE,2020-07-14 15:16:44,54.63,-8.45,57.2,87,90,16.11
5,Thinadhoo,MV,2020-07-14 15:16:44,0.53,72.93,85.41,66,37,4.03
6,Port Alfred,ZA,2020-07-14 15:16:44,-33.59,26.89,55.56,68,99,26.31
7,Luderitz,NA,2020-07-14 15:16:44,-26.65,15.16,68.0,34,0,24.16
8,Mehamn,NO,2020-07-14 15:16:44,71.04,27.85,48.2,81,75,9.17
9,Provideniya,RU,2020-07-14 15:16:44,64.38,-173.3,44.96,93,100,6.76
10,Nemuro,JP,2020-07-14 15:16:44,43.32,145.57,55.0,92,53,6.46
11,Talnakh,RU,2020-07-14 15:16:45,69.49,88.4,50.0,93,75,8.95
12,Norman Wells,CA,2020-07-14 15:13:36,65.28,-126.83,57.2,87,75,2.24
13,Cockburn Town,TC,2020-07-14 15:11:58,21.46,-71.14,87.8,66,40,13.87
14,Chapais,CA,2020-07-14 15:16:45,49.78,-74.85,68.0,64,1,8.05
15,Rikitea,PF,2020-07-14 15:16:45,-23.12,-134.97,71.87,82,100,19.48
16,Prieska,ZA,2020-07-14 15:16:45,-29.66,22.75,50.29,43,17,10.29
17,Albany,US,2020-07-14 15:16:45,42.6,-73.97,78.01,54,0,6.64
18,Georgetown,MY,2020-07-14 15:16:46,5.41,100.34,84.2,79,20,6.93
19,Amapa,BR,2020-07-14 15:16:46,1.0,-52.0,82.04,78,78,3.06
20,Sitka,US,2020-07-14 15:16:46,57.05,-135.33,55.4,82,90,12.75
21,Punta Arenas,CL,2020-07-14 15:16:46,-53.15,-70.92,37.4,86,40,6.93
22,Kavieng,PG,2020-07-14 15:16:46,-2.57,150.8,81.84,72,100,6.87
